"","track.name","instrumentalness","danceability","acousticness","energy","tempo","speechiness","valence","Playlist"
"281","Manus in Mano",0.897,0.242,0.992,0.00627,74.7,0.0409,0.217,"Calm"
"282","Mar De Ardora",0.925,0.237,0.995,0.0082,206.236,0.0426,0.262,"Calm"
"283","Quiet Cove",0.924,0.244,0.994,0.0408,199.993,0.0489,0.371,"Calm"
"284","Love Will Set Us Free",0.951,0.375,0.996,0.0229,178.953,0.108,0.226,"Calm"
"285","Space Comfort",0.898,0.144,0.971,0.0152,97.852,0.0386,0.32,"Calm"
"286","Dream Until the First Rays of Dawn",0.949,0.396,0.994,0.00929,70.463,0.0532,0.338,"Calm"
"287","Presque l'amour",0.954,0.435,0.991,0.031,110.152,0.0373,0.197,"Calm"
"288","Minuit",0.94,0.443,0.993,0.0472,116.125,0.0386,0.446,"Calm"
"289","Signs of Yesterday",0.931,0.535,0.994,0.0206,48.36,0.0614,0.356,"Calm"
"290","Le Beau",0.962,0.397,0.991,0.0173,129.808,0.0465,0.15,"Calm"
"291","Her",0.92,0.394,0.988,0.0566,135.534,0.035,0.197,"Calm"
"292","Aldebaran",0.918,0.366,0.986,0.014,69.575,0.0386,0.128,"Calm"
